#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
7888,122796671,MC4R,-,-,-,3.part0,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240322,-
7888,122807104,PPARG,-,-,-,7.part0,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240322,-
7888,122810143,FTO,-,-,-,8.part1,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
7888,122813319,LEPR,-,-,-,10.part0,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240322,-
7897,102355468,MC4R,-,-,Ensembl:ENSLACG00000000435,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240502,-
7897,102360245,PPARG,-,-,Ensembl:ENSLACG00000009212,14,-,peroxisome proliferator-activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240502,-
7897,102364165,LEPR,-,-,-,6,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20241203,-
7897,102365574,FTO,-,-,-,5,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240426,-
8296,138481755,MC4R,-,-,-,5p,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20241120,-
8296,138491373,ADIPOQ,-,-,-,10,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20241120,-
8296,138528130,FTO,-,-,-,1q,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20241120,-
8296,138544201,LEPR,-,-,-,1q,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20241120,-
8296,138566517,PPARG,-,-,-,2p,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20241120,-
8319,138259136,PPARG,-,-,-,9,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20241203,-
8319,138259189,MC4R,-,-,-,2_1,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20241023,-
8319,138267401,FTO,-,-,-,12,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20241023,-
8319,138293331,LEPR,-,-,-,4_2,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20241203,-
8345,128635917,PPARG,-,-,-,7,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240325,-
8345,128641112,LEPR,-,-,-,10,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240325,-
8345,128644299,ADIPOQ,-,-,-,Un,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240325,-
8345,128659463,MC4R,-,-,-,5,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240325,-
8345,128661500,FTO,-,-,-,1,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,LOW QUALITY PROTEIN: alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8384,120979204,LEPR,-,-,-,9,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240321,-
